client,server,download_throughput_bps_mean,download_throughput_bps_median,download_throughput_bps_var,download_throughput_bps_std,download_throughput_bps_q90,download_throughput_bps_q99,upload_throughput_bps_mean,upload_throughput_bps_median,upload_throughput_bps_var,upload_throughput_bps_std,upload_throughput_bps_q90,upload_throughput_bps_q99,rtt_download_sec_mean,rtt_download_sec_median,rtt_download_sec_var,rtt_download_sec_std,rtt_download_sec_q90,rtt_download_sec_q99,rtt_upload_sec_mean,rtt_upload_sec_median,rtt_upload_sec_var,rtt_upload_sec_std,rtt_upload_sec_q90,rtt_upload_sec_q99,packet_loss_percent_mean,packet_loss_percent_median,packet_loss_percent_var,packet_loss_percent_std,packet_loss_percent_q90,packet_loss_percent_q99
client11,server04,525968393.2721213,703221586.0788945,8.661442042940181e+16,294303279.67829686,795058979.9727606,798197345.000896,283405108.50610155,403852963.4017037,2.8809406176196896e+16,169733338.43472502,418678937.9836575,421777432.0659524,0.01542517857142856,0.01,0.0005323449613373018,0.023072601962875833,0.0140546,0.10149823000000005,0.018696892857142842,0.01228799999999995,0.0011821720955806877,0.034382729612127766,0.0140932,0.1460215400000001,1.1170492801935958,0.6796010510485164,2.9298770724024363,1.711688368951088,2.092511820885283,7.382322125048747
client11,server05,482626705.0348363,645801542.5141994,7.548625500364944e+16,274747620.5604872,732893265.9730362,777729740.3143841,262183238.38943863,378293045.8139084,2.9468361350212316e+16,171663511.99428582,419294854.3399143,421889554.1919869,0.011801230769230762,0.012,1.963267971659931e-06,0.0014011666466412663,0.0130448,0.015034419999999995,0.012346717948717936,0.012196,2.7011640499325147e-06,0.0016435218434607173,0.01451,0.015744779999999937,1.1229841281265267,0.6124524933979845,3.2531746108920188,1.803655901465692,3.0789829748613755,7.9974256482133805
client11,server06,571636410.1099858,713886131.893699,7.435855958208256e+16,272687659.3872238,786940661.5935053,796333723.186304,313673818.17893314,406574460.244713,2.518096594518586e+16,158685115.70146036,421430747.1967158,423747962.4670821,0.011731487179487176,0.012,2.0518828879891978e-06,0.0014324394884214823,0.013399000000000001,0.0139924,0.012233307692307686,0.012172,2.4816286396761406e-06,0.0015753185835494167,0.014312600000000002,0.015982519999999997,0.6669790868024414,0.6261797582081817,1.1251598119116561,1.0607355051621756,0.8019801371684178,4.7331849355975075
client11,server07,493961057.6816875,678711310.6435596,8.148591491399659e+16,285457378.45429146,785892004.3426566,798593825.0411197,259894933.1007465,378719624.8075039,2.6382154081194316e+16,162425841.79001296,410208443.1037331,420234150.6432785,0.01374995880149812,0.015,1.1058153896792531e-05,0.0033253802634875505,0.016,0.022591779999999954,0.017209183520599244,0.016201,1.4614088616569492e-05,0.003822837770108678,0.0181172,0.03958329999999991,1.1288856858125422,0.2696754384283251,4.485602848437783,2.1179241838266503,3.3652434919856558,9.396892483146459
client12,server01,646303962.2723957,650180310.4008157,673604032685138.5,25953882.80556762,675606215.3822163,691624660.883088,101673291.00016983,100783333.07530235,470940767792757.06,21701169.733282976,125284707.64606637,155014084.98794279,0.013661952380952374,0.013308500000000001,4.069708387921012e-06,0.0020173518255180507,0.0163853,0.01704791,0.019304333333333326,0.0191225,6.711020764227671e-06,0.0025905637927346376,0.0215684,0.026391239999999982,0.06833213829364004,0.06024753371051175,0.0024041567003494054,0.049032200647629566,0.1328557350974648,0.1718408773929918
client12,server02,641745179.6210634,650333304.7156142,1094815271977721.0,33087992.867167406,671600311.9691818,694617527.9729978,100799396.14482161,104978974.57122804,592480291547619.1,24340918.05063275,125383987.67861912,148424833.52184942,0.01409196923076922,0.013923,4.940597342788459e-06,0.002222745451640484,0.0171094,0.019304199999999997,0.020372861538461528,0.0199179999999999,7.147633746153865e-06,0.002673505890428122,0.0240374,0.02617344,0.0807960831510022,0.0669857506944895,0.004046790780674189,0.0636143913016087,0.17301613456512666,0.22571942010293963
client12,server03,631564897.6590172,635764570.6907947,1526478176792916.8,39070169.909957096,674460104.3582032,696538694.8524861,92333024.55001594,101837707.11664584,1037214258730821.6,32205810.946641628,123650769.61048074,150050738.7429887,0.014149428571428561,0.0143395,4.1651198129870335e-06,0.002040862516924409,0.016585,0.0175237,0.020506053571428564,0.020130500000000003,9.74343357889609e-06,0.003121447353215506,0.023851999999999998,0.029624700000000014,0.07407479787632132,0.06291720910589645,0.005343768931725463,0.0731010870762225,0.15237411251708066,0.3103529571208309
client12,server04,82866797.1700162,85494523.85528582,101277630285840.48,10063678.765036197,88400839.10999238,89289811.27819848,66337479.48219492,70154595.29251204,191420256556092.47,13835470.95534129,77410474.30743596,80057566.60345489,0.2265274909090909,0.221755,0.00016362888588417515,0.012791750696608152,0.2422844,0.26590732000000006,0.23159201818181818,0.232003,0.00034379720183299673,0.01854176911281652,0.23923039999999998,0.2953365400000001,0.15631827451182387,0.0,1.3411892880991902,1.1580972705689234,0.0,3.953126644499886
client12,server05,82906398.75451653,83166344.6356034,79788667597738.16,8932450.257221596,88062775.4084563,89241958.93116859,61758666.2301667,69208705.3451467,314075730477863.9,17722181.876898337,76594738.1559716,78394398.72160062,0.22773744444444444,0.22785149999999996,0.00032397581715723267,0.0179993282418326,0.23147929999999992,0.29211730999999985,0.23239596296296294,0.23054049999999998,0.00038892670645143234,0.019721224770572247,0.24335020000000002,0.30178442999999977,0.11231983790932015,0.0,0.6805862638111991,0.824976523187902,0.0,2.8501196685457315
client12,server06,82919958.58821593,82758172.83607769,38366681278424.984,6194084.377728881,88495199.42452976,89993155.2028964,62159042.60854815,68487716.03358898,299341769452768.9,17301496.162262063,75325138.74293281,79098699.76918544,0.22617423437499998,0.22788750000000002,9.112257383308532e-05,0.00954581446672233,0.23458410000000002,0.25247817999999994,0.23291589062499998,0.23158299999999998,0.0002532438050830851,0.01591363582224644,0.24578899999999995,0.28370994999999977,0.00017681212269317342,0.0,4.769036549939557e-07,0.0006905821131436548,0.0,0.00289364366364037
client12,server07,588430390.0966144,690452712.6892633,5.547641881232737e+16,235534326.18692198,746165250.2332855,796317638.6330204,105378144.71333015,109462663.70551637,743761163644448.5,27271984.959743,135230854.93454185,164529364.61333668,0.04551463157894736,0.0063225,0.006882283604517285,0.08295952991981864,0.2202045,0.23989068,0.011640960526315778,0.011439999999999999,3.7031944802848803e-06,0.0019243685926258723,0.01267489999999993,0.019325359999999937,0.04569402096043964,0.009593885760099449,0.02725095626875133,0.16507863662131247,0.11419623218306799,0.26885808337425243
