server,download_throughput_bps_mean,download_throughput_bps_median,download_throughput_bps_var,download_throughput_bps_std,upload_throughput_bps_mean,upload_throughput_bps_median,upload_throughput_bps_var,upload_throughput_bps_std,rtt_download_sec_mean,rtt_download_sec_median,rtt_download_sec_var,rtt_download_sec_std,rtt_upload_sec_mean,rtt_upload_sec_median,rtt_upload_sec_var,rtt_upload_sec_std,packet_loss_percent_mean,packet_loss_percent_median,packet_loss_percent_var,packet_loss_percent_std,packet_loss_count_n1000_mean,packet_loss_count_n1000_median,packet_loss_count_n1000_var,packet_loss_count_n1000_std,download_throughput_bps_0.9,download_throughput_bps_0.95,download_throughput_bps_0.99,upload_throughput_bps_0.9,upload_throughput_bps_0.95,upload_throughput_bps_0.99,rtt_download_sec_0.9,rtt_download_sec_0.95,rtt_download_sec_0.99,rtt_upload_sec_0.9,rtt_upload_sec_0.95,rtt_upload_sec_0.99,packet_loss_percent_0.9,packet_loss_percent_0.95,packet_loss_percent_0.99,packet_loss_count_n1000_0.9,packet_loss_count_n1000_0.95,packet_loss_count_n1000_0.99,sample_count
server01,642228648.6070595,761755122.155469,7.223159799243475e+16,268759368.19473803,437093211.64194083,421465715.00341594,9.676443731883334e+16,311069827.0787981,0.011294186567164176,0.011,5.20795638381921e-06,0.0022820947359431004,0.012635705223880585,0.01113999999999995,1.6157981296122222e-05,0.0040196991549271725,2.2571833080686523,1.0169397008800147,7.8540412244517,2.8025062398595475,22.578358208955223,10.0,785.111605523783,28.019843067436746,903470691.4563196,910997121.3253675,917939105.018732,895541991.2255392,902735905.2511234,910093017.8267956,0.0144195,0.01576325,0.017561849999999983,0.018973999999999998,0.02048875,0.023729899999999998,6.434744434986241,7.611228999558717,11.242164673394285,64.5,76.5,112.19999999999982,536
server02,634859985.9787592,761778714.4441772,7.81349332158662e+16,279526265.6994262,440586101.7994234,431405557.9661397,1.1028554827548907e+17,332092680.2497897,0.011379414930555552,0.011,6.970919516228852e-06,0.00264024989654935,0.01130175347222221,0.0112455,0.0018001875475878123,0.04242861708314109,1.9778614016718135,0.793493264674195,8.136013012344323,2.852369718732886,19.76388888888889,8.0,813.568502415459,28.523122241708727,901871539.8273139,910414159.5804569,918578123.5963228,896882546.2432721,902809158.6978352,907728819.4181165,0.015,0.016808499999999976,0.01863225,0.020144000000000002,0.022207,0.024677750000000002,6.273744387039352,8.208076940264318,11.66488996827404,63.0,81.75,117.0,576
server03,638431670.568167,768343383.824962,7.765861501625432e+16,278672953.50689185,448242233.5997781,451789454.1627786,1.0640024716242277e+17,326190507.46829337,0.011467220588235289,0.011,6.1006917302567215e-06,0.002469957839773125,0.012940387867647049,0.0112025,1.859734758961311e-05,0.004312464213139989,2.1300307222806887,0.8350132890160995,8.55746578589019,2.9253146473311533,21.284926470588236,8.0,855.4785200682472,29.248564410381704,903861585.6756088,909720533.5796661,920161548.0636778,899317157.2221705,905780513.086284,912003741.5805562,0.015,0.01657275,0.0180399,0.0200763,0.02202525,0.025740790000000083,6.456411529486073,8.443358893980047,11.52840737866179,64.69999999999999,84.85000000000002,115.1400000000001,544
server04,196583088.64971247,168405038.27634528,3.1454873225399988e+16,177355217.64357537,157250705.3429277,181915545.32250363,8205735459811588.0,90585514.62464398,0.12758722625215888,0.118385,0.0044598088121234674,0.06678180000661459,0.12912228151986183,0.118861,0.0045961626955486395,0.06779500494541349,1.9390489318594466,0.0,15.78079469296271,3.972504838633014,19.381692573402418,0.0,1577.9249929779887,39.723104019927604,596264507.1730682,598083089.83653,783898745.0412564,297797770.06310856,301282978.9654295,413928874.73389983,0.2238716,0.2309098,0.24332799999999993,0.2313522,0.2354243,0.24324748,6.353302625675889,12.172611181597674,18.994860509135208,63.200000000000045,122.0,190.0,579
server05,201203719.54233354,168824051.1923665,3.350480434998622e+16,183043176.19071797,158269476.90808913,181156345.8996931,8750847773749336.0,93545966.10089254,0.12307900366972477,0.118946,0.004574045757816163,0.06763169196328125,0.12403108073394493,0.118818,0.004738276515291261,0.06883514011964573,2.7470879075993664,0.0,26.866776920477566,5.1833171734399555,27.46605504587156,0.0,2687.451511063141,51.84063571237472,596666984.2435949,598318469.9224955,730367946.2248607,299987138.9850954,302602471.4227329,415662758.69135916,0.2234928,0.23013799999999998,0.24111143999999995,0.2280804,0.234965,0.24831672,10.858315366675805,17.384102524877427,20.34595218840184,108.60000000000002,173.59999999999945,203.55999999999995,545
server06,205373287.40045124,169563776.3130139,3.6368630144084e+16,190705611.202408,157433421.5605198,181308911.3118747,9821520408432576.0,99103584.23605362,0.12942948484848482,0.118838,0.005038334163671641,0.07098122402207249,0.12883482531194296,0.119,0.007509858852337289,0.08665944179567099,1.948610373341979,0.0,17.959345423287818,4.2378467909172715,19.481283422459892,0.0,1793.6179526356,42.351126934659014,596838976.9222194,600880436.6168836,784010274.9256657,298902057.7402457,302862890.7129683,420558193.5210759,0.2276649999999999,0.232231,0.24265579999999998,0.232358,0.236927,0.24799339999999997,6.415475599596491,12.02961347249036,19.34704229835359,64.0,120.0,193.39999999999998,561
server07,585219496.8815966,709204403.196444,1.0798345552587637e+17,328608361.923242,449144828.17851204,513251777.8942276,9.297520581292669e+16,304918359.2585509,0.02961402963160704,0.009,0.002880341019840773,0.05366880863071932,0.00764406513614521,0.005448,2.620935970843966e-05,0.005119507760365215,1.6653238872337044,0.0892457754720313,9.697489369758543,3.1140792170011578,16.631073144687665,1.0,970.7914934808944,31.157527075827026,911096080.4066156,914736971.1407969,929151574.5796974,837713469.8478926,898189946.5006274,913622337.0842179,0.117,0.12247125,0.22967149999999995,0.015241999999999999,0.016117499999999924,0.019739800000000116,5.837332589705119,8.60431210497546,13.47944266326491,58.0,86.0,134.55000000000018,3746
